,Unnamed: 0,acousticness,artist_name,danceability,duration_ms,energy,Month,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_id,track_name,valence
355,5,0.124,Ed Sheeran,0.64,197867,0.648,8,0,5,0.0802,-8.113,0,6,0.187,23189627,92.977,4,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),0.548
356,6,0.0767,Taylor Swift,0.777,190360,0.658,8,0,0,0.0901,-5.191,1,7,0.054,22211263,110.048,4,3RauEVgRgj1IuWdJ9fDs70,The Man,0.633
357,7,0.328,Billie Eilish,0.701,194088,0.425,8,0.13,7,0.1,-10.965,1,8,0.375,22193460,135.128,4,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.562
358,8,0.0912,Ed Sheeran,0.798,219947,0.675,8,0,6,0.0894,-5.041,1,9,0.0442,21294584,101.956,4,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),0.842
359,9,0.153,Sam Smith,0.477,202205,0.682,8,0,1,0.0763,-4.931,0,10,0.0925,20617185,110.567,5,6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,0.345
360,10,0.278,DJ Snake,0.694,185195,0.758,8,1.34E-06,11,0.102,-2.986,1,11,0.218,19672749,192.091,4,6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),0.371
361,11,0.751,Lewis Capaldi,0.501,182161,0.405,8,0,1,0.105,-5.679,1,12,0.0319,19536821,109.891,4,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,0.446
362,12,0.0533,Lil Nas X,0.878,157067,0.619,8,0,6,0.113,-5.56,1,13,0.102,19223204,136.041,4,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,0.639
363,13,0.688,Tones And I,0.825,209755,0.593,8,0.000161,6,0.17,-6.401,0,14,0.0988,19008751,98.078,4,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,0.54
364,14,0.119,Ariana Grande,0.4,186107,0.795,8,0,10,0.159,-3.731,0,15,0.461,18751171,190.097,4,0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),0.702
365,15,0.117,Taylor Swift,0.552,178427,0.702,8,2.06E-05,9,0.105,-5.707,1,16,0.157,18620281,169.994,4,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,0.564
366,16,0.00929,Taylor Swift,0.771,171360,0.671,8,0,2,0.0637,-5.617,1,17,0.0553,18295478,85.026,4,6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,0.714
367,17,0.6,Bad Bunny,0.61,250534,0.624,8,2.12E-06,2,0.243,-4.773,1,18,0.309,18071496,176.169,4,2TH65lNHgvLxCKXM3apjxI,Callaita,0.244
368,18,0.181,Y2K,0.843,160627,0.391,8,0,2,0.137,-7.899,1,19,0.0845,17609137,129.972,4,51Fjme0JiitpyXKuyQiCDo,Lalala,0.496
