Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
2,2hloaUoRonYssMuqLCBLTX,47,0.0815,0.758,216893,0.665,0.000157,2,0.216,-5.188,0,0.0774,4,0.643,151.976
2,6ZRuF2n1CQxyxxAAWsKJOy,48,0.367,0.61,201788,0.725,0.000000,8,0.154,-5.131,1,0.15,4,0.291,146.163
2,2cYnZNzFRFK0H7vSNxPsUq,49,0.265,0.751,219357,0.665,0.000000,8,0.0515,-3.083,1,0.124,4,0.698,95.239
2,1wJRveJZLSb1rjhnUHQiv6,50,0.0153,0.581,189487,0.662,0.000000,9,0.111,-5.239,1,0.303,4,0.434,93.023
3,6ocbgoVGwYJhOv1GgI9NsF,1,0.592,0.778,178627,0.317,0.000000,1,0.0881,-10.732,0,0.334,4,0.327,140.048
3,5w9c2J52mkdntKOmRLeM2m,2,0.11,0.737,193227,0.86,0.000002,8,0.0574,-2.652,0,0.0593,4,0.656,93.989
3,4y3OI86AEP6PQoDE6olYhO,3,0.0427,0.842,181040,0.734,0.000000,1,0.106,-5.065,0,0.0588,4,0.952,137.958
3,3KkXRkHbMCARz0aVfEt68P,4,0.556,0.76,158040,0.479,0.000000,2,0.0703,-5.574,1,0.0466,4,0.913,89.911
3,6MWtB6iiXyIwun0YzU6DFP,5,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
3,2VxeLyX666F8uXCJ0dZF8B,6,0.371,0.572,215733,0.385,0.000000,7,0.231,-6.362,1,0.0308,4,0.323,95.799
3,4kV4N9D1iKVxx1KLvtTpjS,7,0.0421,0.726,190440,0.554,0.000000,5,0.106,-5.29,0,0.0917,4,0.335,169.999
3,6Qs4SXO9dwPj5GKvVOv8Ki,8,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
3,25sgk305KZfyuqVBQIahim,9,0.0691,0.719,187436,0.704,0.000000,1,0.166,-4.724,1,0.0476,4,0.628,133.002
3,5iwz1NiezX7WWjnCgY5TH4,10,0.323,0.826,238200,0.773,0.000000,11,0.143,-4.218,0,0.0524,4,0.761,126.899
3,5WHTFyqSii0lmT9R21abT8,11,0.296,0.674,178480,0.881,0.000003,9,0.0793,-2.853,1,0.147,4,0.234,98.994
3,7uH27oIt4a6cIFCA8ZPcyG,12,0.0361,0.816,158400,0.754,0.000000,11,0.217,-2.75,0,0.111,4,0.533,99.966
3,2dpaYNEQHiRxtZbfNsse99,13,0.191,0.687,214290,0.792,0.000000,5,0.167,-2.749,1,0.0452,4,0.671,100.015
3,5W83ErFkO3aKAIS1WMi6u0,14,0.602,0.807,258800,0.803,0.008530,11,0.136,-4.156,1,0.126,4,0.706,91.987
3,2JvzF1RMd7lE3KmFlsyZD8,15,0.149,0.837,213594,0.364,0.000000,8,0.271,-11.713,1,0.276,4,0.463,123.984
3,5icOoE6VgqFKohjWWNp0Ac,16,0.0623,0.791,156347,0.565,0.000000,5,0.156,-3.933,0,0.0439,4,0.181,99.961
3,53CJANUxooaqGOtdsBTh7O,17,0.0361,0.908,113013,0.517,0.000002,1,0.0949,-6.063,1,0.129,4,0.471,136.019
3,7COXchtUOMd6uIT6HvmRaI,18,0.176,0.599,162583,0.733,0.000000,11,0.242,-7.058,1,0.203,4,0.534,102.211
3,5p7ujcrUXASCNwRaWNHR1C,19,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
3,3e9HZxeyfWwjeyPAMmWSSQ,20,0.229,0.717,207320,0.653,0.000000,1,0.101,-5.634,1,0.0658,4,0.412,106.966
3,4NzMOnvSJVNKF7nw5NkXIP,21,0.74,0.905,193143,0.389,0.162000,8,0.106,-14.505,1,0.332,4,0.196,120.046
3,1WSGTYKLEpKfNQYYW5Oymt,22,0.404,0.541,158027,0.468,0.000004,10,0.358,-4.039,0,0.362,4,0.69,95.266
3,0rTV5WefWd1J3OwIheTzxM,23,0.0501,0.9,197487,0.4,0.000000,0,0.0876,-8.443,1,0.124,4,0.338,136.001
