Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
4,161,11,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,4,0.196,120.046
4,162,12,0.371,0.572,215733,0.385,0,7,0.231,-6.362,1,0.0308,4,0.323,95.799
4,163,13,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
4,164,14,0.296,0.674,178480,0.881,0.000003,9,0.0793,-2.853,1,0.147,4,0.234,98.994
4,165,15,0.32,0.738,189052,0.861,0.00175,2,0.325,-4.141,1,0.237,4,0.58,131.974
4,166,16,0.39,0.853,221543,0.351,0.000009,7,0.752,-10.198,1,0.241,4,0.282,118.028
4,167,17,0.978,0.367,196077,0.111,0.00004,4,0.0897,-14.084,1,0.0972,4,0.198,82.642
4,168,18,0.0623,0.791,156347,0.565,0,5,0.156,-3.933,0,0.0439,4,0.181,99.961
4,169,19,0.753,0.688,360960,0.62,0.000005,11,0.158,-8.029,0,0.22,4,0.727,170.018
4,170,20,0.252,0.837,184436,0.791,0.000001,4,0.188,-3.157,0,0.0773,4,0.618,91.98
4,171,21,0.323,0.826,238200,0.773,0,11,0.143,-4.218,0,0.0524,4,0.761,126.899
4,172,22,0.0691,0.719,187436,0.704,0,1,0.166,-4.724,1,0.0476,4,0.628,133.002
4,173,23,0.191,0.687,214290,0.792,0,5,0.167,-2.749,1,0.0452,4,0.671,100.015
4,174,24,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
4,175,25,0.0153,0.581,189487,0.662,0,9,0.111,-5.239,1,0.303,4,0.434,93.023
4,176,26,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
4,177,27,0.176,0.599,162583,0.733,0,11,0.242,-7.058,1,0.203,4,0.534,102.211
4,178,28,0.74,0.652,169354,0.557,0,1,0.124,-5.714,0,0.0318,4,0.483,150.073
4,179,29,0.0361,0.816,158400,0.754,0,11,0.217,-2.75,0,0.111,4,0.533,99.966
4,180,30,0.0421,0.726,190440,0.554,0,5,0.106,-5.29,0,0.0917,4,0.335,169.999
4,181,31,0.00413,0.507,211267,0.644,0,4,0.217,-7.485,1,0.0641,4,0.172,179.913
4,182,32,0.149,0.837,213594,0.364,0,8,0.271,-11.713,1,0.276,4,0.463,123.984
4,183,33,0.391,0.857,267500,0.647,0.000001,11,0.0842,-4.152,0,0.0984,4,0.553,95.982
4,184,34,0.229,0.717,207320,0.653,0,1,0.101,-5.634,1,0.0658,4,0.412,106.966
4,185,35,0.241,0.673,201818,0.752,0.000045,2,0.0813,-3.572,0,0.0561,4,0.797,175.997
4,186,36,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,4,0.706,91.987
4,187,37,0.934,0.351,200186,0.296,0,4,0.095,-10.109,0,0.0333,4,0.12,115.284
4,188,38,0.0948,0.729,243976,0.603,0,6,0.113,-6.736,0,0.0666,4,0.207,134.972
4,189,39,0.259,0.889,180522,0.496,0,4,0.252,-6.365,0,0.0905,4,0.544,86.003
4,190,40,0.193,0.579,190947,0.904,0,5,0.064,-2.729,1,0.0618,4,0.681,82.014
4,191,41,0.0209,0.509,193798,0.689,0,1,0.301,-4.929,0,0.102,4,0.297,170.087
4,192,42,0.0737,0.682,183027,0.656,0,6,0.353,-4.67,1,0.0435,4,0.607,130.089
4,193,43,0.266,0.849,264483,0.655,0,8,0.0781,-2.899,1,0.106,4,0.76,161.966
4,194,44,0.39,0.882,161627,0.689,0.00325,6,0.0501,-4.027,1,0.124,4,0.746,97.963
4,195,45,0.639,0.694,281500,0.664,0,2,0.0929,-4.649,1,0.05,4,0.676,95.941
4,196,46,0.145,0.759,268434,0.73,0.000003,0,0.11,-7.985,0,0.0516,4,0.74,115.007
4,197,47,0.462,0.678,180953,0.533,0.219,4,0.139,-10.485,1,0.186,4,0.323,150.455
4,198,48,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,4,0.606,122.015
4,199,49,0.0765,0.596,229320,0.552,0.334,0,0.104,-10.278,0,0.097,4,0.112,97.949
4,200,50,0.157,0.842,212500,0.801,0.000005,8,0.0642,-4.167,0,0.228,4,0.617,95.881
5,201,1,0.0912,0.798,219947,0.675,0,6,0.0894,-5.041,1,0.0442,4,0.842,101.956
5,202,2,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,4,0.562,135.128
5,203,3,0.0533,0.878,157067,0.619,0,6,0.113,-5.56,1,0.102,4,0.639,136.041
5,204,4,0.136,0.747,225933,0.7,0.000167,0,0.11,-4.669,1,0.341,4,0.62,176.036
5,205,5,0.524,0.692,190800,0.809,0,2,0.147,-4.198,1,0.0602,4,0.864,123.911
5,206,6,0.0247,0.796,200107,0.586,0,4,0.132,-6.946,0,0.147,4,0.179,97.981
5,207,7,0.0361,0.908,113013,0.517,0.000002,1,0.0949,-6.063,1,0.129,4,0.471,136.019
5,208,8,0.23,0.554,190067,0.498,0.000006,9,0.795,-8.866,1,0.0685,4,0.413,79.635
5,209,9,0.214,0.746,206187,0.787,0,4,0.0669,-6.373,1,0.12,4,0.607,95.005
5,210,10,0.361,0.795,266087,0.783,0,5,0.437,-4.271,1,0.0432,4,0.8,92.016
5,211,11,0.556,0.76,158040,0.479,0,2,0.0703,-5.574,1,0.0466,4,0.913,89.911
5,212,12,0.11,0.737,193227,0.86,0.000002,8,0.0574,-2.652,0,0.0593,4,0.656,93.989
5,213,13,0.751,0.501,182161,0.405,0,1,0.105,-5.679,1,0.0319,4,0.446,109.891
5,214,14,0.272,0.802,157202,0.645,0,5,0.119,-6.181,0,0.0715,4,0.376,100.001
5,215,15,0.0427,0.842,181040,0.734,0,1,0.106,-5.065,0,0.0588,4,0.952,137.958
5,216,16,0.0291,0.614,193040,0.839,0,0,0.112,-4.143,1,0.0702,4,0.657,182.123
5,217,17,0.592,0.778,178627,0.317,0,1,0.0881,-10.732,0,0.334,4,0.327,140.048
5,218,18,0.051,0.901,197573,0.4,0,0,0.0599,-8.575,1,0.126,4,0.346,135.984
